频道检测报告 | 时间: 2026-03-06 10:20:49.087694
🟢 [有效] CCTV-7高清 (CAVS) | 耗时: 1.33s
🟢 [有效] CCTV-6高清        | 耗时: 1.67s
🟢 [有效] CCTV-7高清        | 耗时: 1.13s
🔴 [失效] CCTV-3超清 (CAVS) | 无法获取视频流
🟢 [有效] CCTV-7高清        | 耗时: 1.23s
🔴 [失效] CCTV-3超清 (CAVS) | 无法获取视频流
🟢 [有效] CCTV-7高清        | 耗时: 1.14s
🔴 [失效] CCTV-2高清        | 无法获取视频流
🔴 [失效] CCTV-3超清 (CAVS) | 无法获取视频流
🟢 [有效] CCTV-7高清 (CAVS) | 耗时: 1.31s
🔴 [失效] CCTV-3超清 (CAVS) | 无法获取视频流
🟢 [有效] CCTV-7高清        | 耗时: 1.21s
🟢 [有效] CCTV-7高清        | 耗时: 1.21s
🟢 [有效] CCTV-7高清测试(CCTV -7军事农业高清) | 耗时: 1.11s
🔴 [失效] CCTV-3超清 (CAVS) | 无法获取视频流
🔴 [失效] CCTV-3高清        | 无法获取视频流
🟢 [有效] CCTV-6高清        | 耗时: 2.22s
🔴 [失效] CCTV-3高清        | 无法获取视频流
🟢 [有效] CCTV-7高清测试(CCTV -7军事农业高清) | 耗时: 1.19s
🟢 [有效] CCTV-7高清        | 耗时: 1.19s
🔴 [失效] CCTV-8超清 (CAVS) | 无法获取视频流
🟢 [有效] CCTV-7高清测试(CCTV -7军事农业高清) | 耗时: 1.15s
🟢 [有效] CCTV-7高清测试(CCTV -7军事农业高清) | 耗时: 1.13s
🟢 [有效] CCTV-5高清        | 耗时: 2.85s
🟢 [有效] CCTV-7高清 (CAVS) | 耗时: 1.96s
🔴 [失效] CCTV-3高清        | 无法获取视频流
🟢 [有效] CCTV-7高清测试(CCTV -7军事农业高清) | 耗时: 1.31s
🟢 [有效] CCTV-7高清 (CAVS) | 耗时: 1.98s
🟢 [有效] CCTV-7高清测试(CCTV -7军事农业高清) | 耗时: 1.32s
🔴 [失效] CCTV-4K 4K      | 无法获取视频流
🟢 [有效] CCTV-7高清测试(CCTV -7军事农业高清) | 耗时: 1.12s
🟢 [有效] CCTV-5+高清       | 耗时: 4.42s
🔴 [失效] CCTV-4K 4K      | 无法获取视频流
🔴 [失效] CCTV-9高清 (CAVS) | 无法获取视频流
🟢 [有效] CCTV-6高清        | 耗时: 2.55s
🟢 [有效] CCTV-7高清        | 耗时: 1.96s
🟢 [有效] CCTV-6超清 (CAVS) | 耗时: 3.1s
🟢 [有效] CCTV-4高清        | 耗时: 4.9s
🔴 [失效] CCTV-4K 4K      | 无法获取视频流
